Ticker,Holding,weights,Target,,,
AAPL,35137,0.0460400716472982,234,,,
AMZN,33260,0.0435806353128935,253,,,
AXP,13897,0.0182092630470018,358,,,
BABA,19829,0.0259819728688925,178,,,
DIS,2012,0.00263632706703373,127,,,
GOOGL,84610,0.110864628798073,287,,,
KR,5615,0.00735734417564333,64,,,
META,129626,0.169849171168645,638,,,
MSFT,43643,0.0571854981046486,490,,,
NU,13057,0.0171086095995325,14,,,
NVDA,163328,0.214008959843183,185,,,
OXY,9669,0.0126693073614061,42,,,
PYPL,54574,0.071508406240705,101,,,
TSLA,48409,0.0634303961173139,305,,,
TSM,66046,0.0865401876090007,274,,,
UBER,15425,0.0202114040800175,89,,,
V,18720,0.0245288482578883,332,,,
ADBE,6326,0.00828896870082274,482,,,